Endpoint,Parameter Name,Location,combined_unit_openapi - Type,increase_openapi - Type,q2_openapi - Type,combined_unit_openapi - Required,increase_openapi - Required,q2_openapi - Required,combined_unit_openapi - Description,increase_openapi - Description,q2_openapi - Description
GET /applications/{applicationId}/documents/{documentId}/download/back,documentId,path,string,N/A,N/A,Yes,N/A,N/A,ID of the document to download,N/A,N/A
GET /atm-locations,filter,query,object,N/A,N/A,No,N/A,N/A,,N/A,N/A
GET /authorization-requests,filter,query,object,N/A,N/A,No,N/A,N/A,,N/A,N/A
GET /authorization-requests,page,query,object,N/A,N/A,No,N/A,N/A,,N/A,N/A
GET /authorization-requests/{authorizationId},authorizationId,path,string,N/A,N/A,Yes,N/A,N/A,ID of the authorization request to get,N/A,N/A
GET /authorizations,filter,query,object,N/A,N/A,No,N/A,N/A,,N/A,N/A
GET /authorizations,page,query,object,N/A,N/A,No,N/A,N/A,,N/A,N/A
GET /authorizations,sort,query,string,N/A,N/A,No,N/A,N/A,,N/A,N/A
GET /authorizations/{authorizationId},authorizationId,path,string,N/A,N/A,Yes,N/A,N/A,ID of the authorization to get,N/A,N/A
GET /authorizations/{authorizationId},includeNoneAuthorized,query,boolean,N/A,N/A,No,N/A,N/A,,N/A,N/A
GET /bankDocument/download/{culture}/{documentId},,,N/A,N/A,,N/A,N/A,No,N/A,N/A,
GET /bankDocument/list/{culture},,,N/A,N/A,,N/A,N/A,No,N/A,N/A,
GET /bookkeeping_accounts,cursor,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /bookkeeping_accounts,idempotency_key,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /bookkeeping_accounts,limit,query,N/A,integer,N/A,N/A,No,N/A,N/A,,N/A
GET /bookkeeping_accounts/{bookkeeping_account_id}/balance,at_time,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /bookkeeping_accounts/{bookkeeping_account_id}/balance,bookkeeping_account_id,path,N/A,string,N/A,N/A,Yes,N/A,N/A,,N/A
