Endpoint,Status Code,Content-Type,Property Name,combined_unit_openapi - Type,increase_openapi - Type,q2_openapi - Type,combined_unit_openapi - Description,increase_openapi - Description,q2_openapi - Description
GET /recurring-payments,200,application/vnd.api+json; charset=utf-8,data,array,N/A,N/A,,N/A,N/A
GET /recurring-payments,200,application/vnd.api+json; charset=utf-8,meta,object,N/A,N/A,,N/A,N/A
GET /recurring-payments/{paymentId},200,application/vnd.api+json; charset=utf-8,data,object,N/A,N/A,,N/A,N/A
GET /recurring-repayments,200,application/vnd.api+json; charset=utf-8,data,array,N/A,N/A,,N/A,N/A
GET /recurring-repayments,200,application/vnd.api+json; charset=utf-8,meta,object,N/A,N/A,,N/A,N/A
GET /recurring-repayments,401,application/vnd.api+json; charset=utf-8,code,string,N/A,N/A,,N/A,N/A
GET /recurring-repayments,401,application/vnd.api+json; charset=utf-8,detail,string,N/A,N/A,,N/A,N/A
GET /recurring-repayments,401,application/vnd.api+json; charset=utf-8,details,string,N/A,N/A,,N/A,N/A
GET /recurring-repayments,401,application/vnd.api+json; charset=utf-8,meta,object,N/A,N/A,,N/A,N/A
GET /recurring-repayments,401,application/vnd.api+json; charset=utf-8,source,object,N/A,N/A,,N/A,N/A
GET /recurring-repayments,401,application/vnd.api+json; charset=utf-8,status,string,N/A,N/A,,N/A,N/A
GET /recurring-repayments,401,application/vnd.api+json; charset=utf-8,title,string,N/A,N/A,,N/A,N/A
GET /recurring-repayments/{recurringRepaymentId},200,application/vnd.api+json; charset=utf-8,data,object,N/A,N/A,,N/A,N/A
GET /repayments,200,application/vnd.api+json; charset=utf-8,data,array,N/A,N/A,,N/A,N/A
GET /repayments,200,application/vnd.api+json; charset=utf-8,meta,object,N/A,N/A,,N/A,N/A
GET /repayments,401,application/vnd.api+json; charset=utf-8,code,string,N/A,N/A,,N/A,N/A
GET /repayments,401,application/vnd.api+json; charset=utf-8,detail,string,N/A,N/A,,N/A,N/A
GET /repayments,401,application/vnd.api+json; charset=utf-8,details,string,N/A,N/A,,N/A,N/A
GET /repayments,401,application/vnd.api+json; charset=utf-8,meta,object,N/A,N/A,,N/A,N/A
GET /repayments,401,application/vnd.api+json; charset=utf-8,source,object,N/A,N/A,,N/A,N/A
GET /repayments,401,application/vnd.api+json; charset=utf-8,status,string,N/A,N/A,,N/A,N/A
GET /repayments,401,application/vnd.api+json; charset=utf-8,title,string,N/A,N/A,,N/A,N/A
GET /rewards,200,application/vnd.api+json; charset=utf-8,data,array,N/A,N/A,,N/A,N/A
GET /rewards/{rewardId},200,application/vnd.api+json; charset=utf-8,data,object,N/A,N/A,,N/A,N/A
GET /statements,200,application/vnd.api+json; charset=utf-8,data,array,N/A,N/A,,N/A,N/A
GET /stop-payments,200,application/json,data,array,N/A,N/A,,N/A,N/A
GET /stop-payments/{stopPaymentId},200,application/json,data,object,N/A,N/A,,N/A,N/A
GET /store-locations,200,application/vnd.api+json; charset=utf-8,data,array,N/A,N/A,,N/A,N/A
GET /store-locations,200,application/vnd.api+json; charset=utf-8,meta,object,N/A,N/A,,N/A,N/A
GET /tax-forms,200,application/vnd.api+json; charset=utf-8,data,array,N/A,N/A,,N/A,N/A
GET /tax-forms/{taxFormId},200,application/vnd.api+json; charset=utf-8,data,object,N/A,N/A,,N/A,N/A
GET /transactions,200,application/vnd.api+json,data,array,N/A,N/A,,N/A,N/A
GET /transactions,200,application/vnd.api+json,included,array,N/A,N/A,,N/A,N/A
GET /transactions,200,application/vnd.api+json,meta,object,N/A,N/A,,N/A,N/A
GET /users/{userId}/api-tokens,200,application/vnd.api+json; charset=utf-8,data,array,N/A,N/A,,N/A,N/A
GET /webhooks,200,application/vnd.api+json,data,array,N/A,N/A,,N/A,N/A
GET /webhooks/{webhookId},200,application/vnd.api+json; charset=utf-8,data,object,N/A,N/A,,N/A,N/A
PATCH /accounts/{accountId},200,application/vnd.api+json,data,object,N/A,N/A,,N/A,N/A
PATCH /accounts/{accountId},default,application/vnd.api+json; charset=utf-8,code,string,N/A,N/A,,N/A,N/A
PATCH /accounts/{accountId},default,application/vnd.api+json; charset=utf-8,detail,string,N/A,N/A,,N/A,N/A
PATCH /accounts/{accountId},default,application/vnd.api+json; charset=utf-8,details,string,N/A,N/A,,N/A,N/A
PATCH /accounts/{accountId},default,application/vnd.api+json; charset=utf-8,meta,object,N/A,N/A,,N/A,N/A
PATCH /accounts/{accountId},default,application/vnd.api+json; charset=utf-8,source,object,N/A,N/A,,N/A,N/A
PATCH /accounts/{accountId},default,application/vnd.api+json; charset=utf-8,status,string,N/A,N/A,,N/A,N/A
PATCH /accounts/{accountId},default,application/vnd.api+json; charset=utf-8,title,string,N/A,N/A,,N/A,N/A
PATCH /accounts/{accountId}/transactions/{transactionId},200,application/vnd.api+json,data,object,N/A,N/A,,N/A,N/A
PATCH /applications/{applicationId},200,application/vnd.api+json; charset=utf-8,data,object,N/A,N/A,,N/A,N/A
PATCH /applications/{applicationId},200,application/vnd.api+json; charset=utf-8,included,array,N/A,N/A,,N/A,N/A
PATCH /beneficial-owner/{beneficialOwnerId},200,application/vnd.api+json; charset=utf-8,data,object,N/A,N/A,,N/A,N/A
PATCH /cards/{cardId},200,application/vnd.api+json,data,object,N/A,N/A,,N/A,N/A
PATCH /check-deposits/{checkDepositId},200,application/vnd.api+json,data,object,N/A,N/A,,N/A,N/A
PATCH /counterparties/{counterpartyId},200,application/vnd.api+json,data,object,N/A,N/A,,N/A,N/A
PATCH /customers/{customerId},200,application/vnd.api+json,data,object,N/A,N/A,,N/A,N/A
PATCH /payments/{paymentId},200,application/vnd.api+json,data,object,N/A,N/A,,N/A,N/A
PATCH /received-payments/{paymentId},200,application/vnd.api+json,data,object,N/A,N/A,,N/A,N/A
PATCH /webhooks/{webhookId},201,application/vnd.api+json,data,object,N/A,N/A,,N/A,N/A
POST /accounts,201,application/vnd.api+json; charset=utf-8,data,object,N/A,N/A,,N/A,N/A
POST /accounts,default,application/vnd.api+json; charset=utf-8,code,string,N/A,N/A,,N/A,N/A
POST /accounts,default,application/vnd.api+json; charset=utf-8,detail,string,N/A,N/A,,N/A,N/A
POST /accounts,default,application/vnd.api+json; charset=utf-8,details,string,N/A,N/A,,N/A,N/A
POST /accounts,default,application/vnd.api+json; charset=utf-8,meta,object,N/A,N/A,,N/A,N/A
POST /accounts,default,application/vnd.api+json; charset=utf-8,source,object,N/A,N/A,,N/A,N/A
POST /accounts,default,application/vnd.api+json; charset=utf-8,status,string,N/A,N/A,,N/A,N/A
POST /accounts,default,application/vnd.api+json; charset=utf-8,title,string,N/A,N/A,,N/A,N/A
POST /accounts/{accountId}/activate-daca,200,application/vnd.api+json; charset=utf-8,data,object,N/A,N/A,,N/A,N/A
POST /accounts/{accountId}/activate-daca,default,application/vnd.api+json; charset=utf-8,code,string,N/A,N/A,,N/A,N/A
POST /accounts/{accountId}/activate-daca,default,application/vnd.api+json; charset=utf-8,detail,string,N/A,N/A,,N/A,N/A
POST /accounts/{accountId}/activate-daca,default,application/vnd.api+json; charset=utf-8,details,string,N/A,N/A,,N/A,N/A
POST /accounts/{accountId}/activate-daca,default,application/vnd.api+json; charset=utf-8,meta,object,N/A,N/A,,N/A,N/A
POST /accounts/{accountId}/activate-daca,default,application/vnd.api+json; charset=utf-8,source,object,N/A,N/A,,N/A,N/A
POST /accounts/{accountId}/activate-daca,default,application/vnd.api+json; charset=utf-8,status,string,N/A,N/A,,N/A,N/A
POST /accounts/{accountId}/activate-daca,default,application/vnd.api+json; charset=utf-8,title,string,N/A,N/A,,N/A,N/A
POST /accounts/{accountId}/close,200,application/vnd.api+json; charset=utf-8,data,object,N/A,N/A,,N/A,N/A
POST /accounts/{accountId}/close,default,application/vnd.api+json; charset=utf-8,code,string,N/A,N/A,,N/A,N/A
POST /accounts/{accountId}/close,default,application/vnd.api+json; charset=utf-8,detail,string,N/A,N/A,,N/A,N/A
POST /accounts/{accountId}/close,default,application/vnd.api+json; charset=utf-8,details,string,N/A,N/A,,N/A,N/A
POST /accounts/{accountId}/close,default,application/vnd.api+json; charset=utf-8,meta,object,N/A,N/A,,N/A,N/A
POST /accounts/{accountId}/close,default,application/vnd.api+json; charset=utf-8,source,object,N/A,N/A,,N/A,N/A
POST /accounts/{accountId}/close,default,application/vnd.api+json; charset=utf-8,status,string,N/A,N/A,,N/A,N/A
POST /accounts/{accountId}/close,default,application/vnd.api+json; charset=utf-8,title,string,N/A,N/A,,N/A,N/A
POST /accounts/{accountId}/deactivate-daca,200,application/vnd.api+json; charset=utf-8,data,object,N/A,N/A,,N/A,N/A
POST /accounts/{accountId}/deactivate-daca,404,application/vnd.api+json; charset=utf-8,code,string,N/A,N/A,,N/A,N/A
POST /accounts/{accountId}/deactivate-daca,404,application/vnd.api+json; charset=utf-8,detail,string,N/A,N/A,,N/A,N/A
POST /accounts/{accountId}/deactivate-daca,404,application/vnd.api+json; charset=utf-8,details,string,N/A,N/A,,N/A,N/A
POST /accounts/{accountId}/deactivate-daca,404,application/vnd.api+json; charset=utf-8,meta,object,N/A,N/A,,N/A,N/A
POST /accounts/{accountId}/deactivate-daca,404,application/vnd.api+json; charset=utf-8,source,object,N/A,N/A,,N/A,N/A
POST /accounts/{accountId}/deactivate-daca,404,application/vnd.api+json; charset=utf-8,status,string,N/A,N/A,,N/A,N/A
POST /accounts/{accountId}/deactivate-daca,404,application/vnd.api+json; charset=utf-8,title,string,N/A,N/A,,N/A,N/A
POST /accounts/{accountId}/enter-daca,200,application/vnd.api+json; charset=utf-8,data,object,N/A,N/A,,N/A,N/A
POST /accounts/{accountId}/enter-daca,default,application/vnd.api+json; charset=utf-8,code,string,N/A,N/A,,N/A,N/A
POST /accounts/{accountId}/enter-daca,default,application/vnd.api+json; charset=utf-8,detail,string,N/A,N/A,,N/A,N/A
POST /accounts/{accountId}/enter-daca,default,application/vnd.api+json; charset=utf-8,details,string,N/A,N/A,,N/A,N/A
